City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Pindwara,IN,79.23,scattered clouds,24.8,73.0667,Arbuda tour and travels
388,Seoul,KR,76.48,broken clouds,37.5683,126.9778,롯데호텔 서울
391,Barraute,CA,78.19,overcast clouds,48.4335,-77.6328,Auberge La Fille d'à côté
392,Djibo,BF,84.81,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
394,Cedar City,US,83.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
395,Inhambane,MZ,75.18,clear sky,-23.865,35.3833,Oceano
403,Jiaocheng,CN,78.26,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
404,Lishui,CN,77.81,overcast clouds,28.4604,119.9103,Bayi Hotel
405,Anloga,GH,80.82,scattered clouds,5.7947,0.8973,Pin Drop Hotel
407,Buala,SB,77.95,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
410,West Bay,KY,89.67,scattered clouds,19.3667,-81.4167,Calypso Cove
414,Surt,LY,85.55,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
419,Alekseyevka,RU,75.63,light rain,50.6309,38.6903,Apartment on Ploshchad Pobedy
423,Biltine,TD,87.19,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
425,Lorengau,PG,80.74,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
427,Petatlan,MX,86.99,broken clouds,17.5167,-101.2667,Hotel California Petatlán
432,Poso,ID,76.35,broken clouds,-1.3959,120.7524,Hotel 77 Poso
433,Araxa,BR,80.56,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
434,Bodden Town,KY,89.6,scattered clouds,19.2833,-81.25,Will T Place
435,Shingu,JP,77.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
436,Tabou,CI,78.46,light rain,4.423,-7.3528,hotêl doufoulougou
444,Harper,LR,78.69,light rain,4.375,-7.7169,Screensaver
449,Shymkent,KZ,79.39,clear sky,42.3,69.6,Orbita Boutique Hotel
450,Singaraja,ID,78.24,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
